Sample,Attempt 2,Lat.,Long.,Formation Name Attempt 2,Guess from Scott Hughes,Orientation,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr,Sc,Ba,Rb,Sr,Zr,La,Ce,Th
WA-086,2,45.166275,-117.387427,GR,None,,54.01365559,2.137141127,13.59705882,12.2,0.203557282,3.72874145,6.985120226,3.493669725,1.614545455,0.42,10.6,35.3,555,44.6,322,201,21.9,48,3.63
WA-087,2,45.16901,-117.392064,GR,None,,55.76800805,2.372279635,13.27250308,11.5,0.209023256,2.891339877,6.49220339,3.55192604,1.768783638,0.51,4.04,31.1,615,46.9,363,220,25.4,54.5,5.48
WA-088,3,45.161387,-117.400115,Imnaha,None,176,52.35158954,1.699100851,14.98965517,10.4,0.172883721,5.870456413,9.400169492,3.035353846,1.027751606,0.24,172,32.7,315,27.9,379,147,14.6,33.2,1.96
WA-089,2,45.165697,-117.463144,GR,None,,54.67221774,1.860254237,14.10441176,10.9,0.183361868,4.332065663,7.605382436,3.275963303,1.462841148,0.27,13.4,31.2,390,49.8,338,183,18.7,41.3,4.08
WA-090,2,45.167428,-117.459229,GR,None,,53.13,2.05,14.29,11.3,0.19,4.63,8.42,3.16,1.31,0.36,71.6,37,460,50.6,331,167,20.6,41.8,3.45
WA-091,2,45.167405,-117.459229,GR,None,,53.3,2.12,14.21,11.6,0.2,4.52,8.36,3.27,1.21,0.37,67.3,35.4,400,38.5,333,171,20.5,43.5,3.89
WA-092,2,45.16054,-117.450836,GR,None,,53.37,2.12,13.94,12.3,0.21,4.47,8.46,3.06,1.34,0.4,61.9,36.7,535,4,340,175,20.8,45.2,3.75
WA-093,2,45.160564,-117.450836,GR,None,,53.85,2.05,14.34,12,0.2,4.51,8.35,3.05,1.16,0.36,69.3,37.1,535,24.9,333,172,20.2,44.2,3.73
WA-094,2,45.161508,-117.450477,GR,None,,55.05,2.41,13.5,12.5,0.21,3.6,6.74,3.42,1.52,0.47,4.49,33,655,19.2,324,236,23.8,55.4,4.14
WA-095,3 or 4,45.161531,-117.450444,Not over threshold for probability (threshold of .6),None,,52.8977221,1.334153846,15.18992806,8.97,0.153802817,6.135458333,9.914742857,2.957009346,0.899609236,0.19,182,31.7,320,9.3,379,127,11.8,26.9,1.93
