Cluster_ID,Number,SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,SR87_SR86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr
2,Sun41,52.85428785,0.954592651,21.56374558,7.655721415,2.813536235,10.50051916,3.225518327,0.432078779,0.704053,0.512846,18.196,15.568,38.348,6.52,15.13,10.3,3.24,3.84,2.58,0.41,99,2.05,0.74,11.5,227,0.06,2,26.1,69
2,Sun42,51.05986903,0.817755715,21.69047171,7.703303157,3.87935333,11.48847053,2.961871309,0.398905227,0.703955,0.51288,18.284,15.562,38.446,4.62,11.08,7.9,2.65,3.25,2.28,0.37,74,1.64,0.53,10.1,217,0.04,1.33,22.7,56
2,Sun43,51.19889043,0.828848821,21.39029126,7.977808599,3.954507628,11.30429958,2.93592233,0.409431345,0.70395,0.512857,18.28,15.559,38.41,4.67,11.17,8,2.64,3.33,2.28,0.37,75,1.73,0.53,10.4,215,0.05,1.31,23,57
2,Sun44,57.997094,0.54766961,18.77724377,6.71733542,2.984240528,9.131552476,2.481278641,1.363585559,0.703952,0.512964,18.635,15.593,38.768,7.6,17,9.71,2.16,2.21,1.12,0.188,412,1.6,1,31,366,0.11,1.3,13,49
3,BAB1,46.15947492,0.898044259,22.37128032,10.3552264,3.193046255,13.86979467,2.614306621,0.538826556,0.704156,0.512961,18.687,15.585,38.584,6.23,14.5,9.8,2.46,2.72,1.67,0.27,218,1.47,2.2,0.9,454,0.13,0.5,14,61
3,BAB2,51.11861545,1.74124103,17.9400591,9.845926551,5.202617138,9.487125369,3.440270156,1.224145209,0.703076,0.512967,18.0213,15.4598,37.988,25,47.6,23.6,4.94,5.23,3.09,0.47,228,3.77,37.1,19.6,330,2.51,3.11,33.4,170
3,BAB3,51.38721351,0.814234017,20.16485726,12.3743466,3.799758745,5.780056293,3.43787696,2.241656614,0.703521,0.513028,18.985,15.559,38.385,5.25,14,10.6,2.62,2.633,1.24,0.186,186,1.65,0.81,22.8,677,0.053,0.384,13.9,59.9
3,BAB4,49.74229409,1.384537645,18.21121779,13.00656897,5.275391612,7.215765538,3.597776655,1.566447701,0.703315,0.513004,18.581,15.521,38.114,13.5,35,23.7,5.47,5.191,2,0.303,144,3.06,4.93,22.3,568,0.315,0.969,25.6,122
3,BAB5,50.83658952,0.931770364,17.55335137,12.20318605,6.422202184,6.271916642,3.256186755,2.524797115,0.703587,0.512998,18.744,15.529,38.217,5.49,15.2,11.6,3.05,3.19,1.79,0.279,232,1.66,1.29,34.4,580,0.088,0.472,20.1,57.8
3,BAB6,52.1756527,1.040312094,18.31549465,11.29338802,3.741122337,6.051815545,4.391317395,2.990897269,0.703809,0.513011,18.657,15.532,38.182,8.12,20.3,14,3.41,3.63,2.8,0.487,113,2.33,1.95,52.5,612,0.126,0.833,28.2,89.1
3,BAB7,53.35115132,0.842927632,19.91159539,8.706825658,4.070723684,9.601151316,2.806332237,0.709292763,0.70303,0.513073,18.3371,15.512,38.192,10.4,22,14,3.48,3.83,2.7,0.44,83.4,2.72,2.08,12.2,353,0.18,1.49,27.9,84.6
3,BAB8,60.52280882,0.85084572,17.25269093,6.58124039,2.419272168,5.904664275,4.090210149,2.378267555,0.702949,0.513004,18.2748,15.5014,38.125,19.3,42.1,21.8,4.82,4.78,3.02,0.48,205,3.8,11.7,45.6,455,0.94,2.88,30.5,175
3,BAB9,60.9815701,0.845127787,17.13674779,6.384278587,2.382649425,5.742796049,4.113634049,2.413196212,0.702938,0.512997,18.2781,15.5021,38.135,20,43.3,22.6,4.89,4.84,3.02,0.46,208,3.75,11.5,47.5,454,0.95,2.94,29.7,182
3,BAB10,48.98082137,0.753087659,16.40726981,10.67376243,9.699769053,11.28627372,1.82749272,0.371523245,0.703033,0.513066,18.3388,15.5277,38.247,4.18,9.92,8.07,2.28,2.89,1.99,0.31,36.4,1.31,0.94,5.85,251,0.086,0.46,22,47
3,BAB11,51.30237826,0.864820344,19.71584474,9.399773499,5.734582518,9.811592711,2.810666118,0.36034181,0.703044,0.513005,18.0042,15.4823,37.982,13.2,27.7,18,4.52,4.96,2.97,0.46,66.5,2.56,3.66,4.99,364,0.28,1.4,30.6,94.9
3,BAB12,47.21474838,0.906826109,17.46885899,13.26357748,5.161933234,13.56253114,1.943198804,0.478325859,0.702834,0.513094,18.3115,15.5104,38.162,7.06,18.9,14,3.48,3.81,1.84,0.29,24,1.55,0.62,7.64,484,0.053,0.39,20.6,48.6
3,BAB13,57.08377519,0.678685048,18.13361612,8.091198303,3.955461294,7.900318134,3.001060445,1.155885472,0.703131,0.512985,18.0658,15.4927,38.021,12.3,27.9,16.8,3.86,4.02,2.33,0.38,135,2.44,3.79,31.7,419,0.27,1.99,24.4,106
3,BAB14,47.04193581,1.281656926,18.87624321,11.25807444,4.101302163,14.52886291,2.553060597,0.358863939,0.703059,0.512997,18.1524,15.5056,38.092,10.2,23.8,17.4,4.76,5.3,2.94,0.46,69.2,2.23,3.47,3.83,441,0.26,1.08,32.9,79.7
3,BAB15,54.61765604,0.702576112,18.17533856,8.390184299,4.582018124,9.764789736,2.596476937,1.170960187,0.702976,0.512971,18.2708,15.5038,38.168,8.18,18.4,10.7,2.62,3.01,2,0.32,99.3,1.6,1.5,23.8,352,0.11,1.82,20.9,63.3
3,BAB16,48.95996655,1.055712345,21.86683391,6.250653287,5.268109125,13.20163061,2.864011707,0.533082471,0.702847,0.512997,17.9492,15.4468,37.84,7.87,17.9,10.3,2.57,2.89,1.56,0.23,97.9,1.87,10.6,8.33,324,0.73,0.81,18.9,90.9
3,BAB17,50.24075402,1.628931462,15.79756173,9.998975515,6.47474644,12.17088413,3.083700441,0.604446266,0.702902,0.513024,17.9415,15.4432,37.846,9.62,22.8,14.4,3.9,4.61,2.81,0.4,103,3.04,11.8,11.8,246,0.81,0.9,32.4,127
3,BAB18,50.52620501,2.420543044,17.28057251,10.41885919,4.704272785,9.671648074,3.378236161,1.599663229,0.703229,0.512939,17.9425,15.4483,37.934,27.9,55.4,27.2,6.13,6.42,3.34,0.51,344,4.61,43.9,17.1,363,3.18,3.8,38.5,213
3,BAB19,51.558753,2.022729642,18.99697633,7.642581587,4.775310187,7.131685956,4.483369826,3.388593473,0.703234,0.512941,17.9256,15.4495,37.885,39.2,74.5,30,5.83,5.29,2.42,0.37,464,5.57,67.3,36.9,627,4.93,6.11,28,260
3,BAB20,51.44650074,2.031482663,18.77260157,7.604764944,5.084024676,7.200595618,4.499042757,3.360987024,0.703232,0.512947,17.9225,15.4498,37.882,39.5,74.7,30.2,5.82,5.15,2.43,0.36,475,5.74,64.1,30.8,636,5.09,5.89,28.2,263
3,BAB21,49.27626783,1.322503384,16.11996251,11.11111111,5.893991461,13.24586067,2.790794543,0.239508487,0.702631,0.513174,17.7025,15.4076,37.347,3.17,10.3,9.05,2.94,4.05,2.9,0.42,4.17,2.19,1.42,4.83,155,0.13,0.09,29.2,93
3,BAB22,49.09492738,1.925910335,17.63839192,9.092822564,7.693117238,9.177015365,3.409808461,1.968006735,0.703161,0.512988,17.9414,15.4506,37.859,23.9,45.5,22.1,4.65,4.95,2.33,0.36,292,3.51,36.4,21.6,521,2.72,2.83,27.7,164
3,BAB23,49.35943425,1.998565133,18.8172594,9.090909091,6.210925489,9.316388234,3.351439992,1.855078405,0.70314,0.512977,17.9484,15.4555,37.874,25.6,47.6,23.3,5.15,5.2,2.52,0.38,297,3.89,41.1,22.1,560,2.95,2.85,29.3,182
3,BAB24,51.83580858,1.990511551,19.94636964,8.013613861,2.495874587,8.271452145,4.238861386,3.207508251,0.703131,0.512971,17.9589,15.4493,37.905,35.2,67.5,28.4,5.72,5.15,2.64,0.39,446,4.93,57.8,45.4,580,4.14,4.81,29.1,247
3,BAB25,50.3008669,1.652218256,18.43957165,8.944416114,5.170831209,10.46404895,3.365629781,1.662417134,0.703015,0.512993,17.9925,15.4552,37.884,18.6,37.5,19.1,4.22,4.37,2.35,0.36,218,3.28,27.2,17.6,494,2.06,2.41,25.8,150
3,BAB26,49.82385506,1.167589331,18.8827378,8.344237544,6.220432813,12.4710619,2.647206844,0.442878712,0.703008,0.513033,18.0752,15.4687,37.942,8.45,18.4,11.3,2.93,3.46,2.3,0.35,76.1,2.1,9.78,4.74,300,0.69,0.95,25.2,94.2
