SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation,Member,MemberID,Source,FormationID,Polarity
55.93,2.421,13.85,11.47,,,0.195,3.38,7.1,3.06,1.89,0.453,11.0,12.0,39.0,352.0,760.0,50.0,335.0,191.0,40.0,15.8,25.0,29.0,128.0,7.0,29.0,54.0,9.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.31,2.482,13.84,11.66,,,0.252,3.47,7.3,3.16,1.79,0.482,14.0,21.0,33.0,390.0,712.0,42.0,325.0,187.0,41.0,16.6,21.0,20.0,129.0,11.0,29.0,56.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.9,2.345,13.73,11.95,,,0.213,3.67,7.51,3.19,1.77,0.457,17.0,28.0,36.0,378.0,699.0,42.0,322.0,183.0,40.0,13.1,20.0,43.0,133.0,7.0,25.0,50.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.02,2.556,13.71,12.79,,,0.17,4.0,6.92,3.47,1.68,0.435,9.0,20.0,37.0,431.0,632.0,43.0,314.0,187.0,39.0,14.1,20.0,19.0,131.0,4.0,6.0,69.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.19,2.275,13.87,12.12,,,0.19,4.2,7.88,3.25,1.42,0.379,51.0,34.0,33.0,337.0,522.0,26.0,330.0,184.0,35.0,15.3,22.0,72.0,116.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.17,2.192,13.82,11.99,,,0.163,3.07,6.35,3.71,1.88,0.405,0.5,17.0,37.0,339.0,689.0,60.0,343.0,184.0,36.0,13.1,22.0,5.0,124.0,6.0,25.0,59.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.26,2.301,13.81,11.79,,,0.199,3.55,7.27,3.25,1.89,0.413,5.0,18.0,40.0,370.0,899.0,44.0,328.0,184.0,40.0,12.9,23.0,23.0,132.0,4.0,23.0,20.0,8.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.71,2.003,13.79,11.57,,,0.193,3.75,7.48,3.24,1.75,0.299,6.0,22.0,34.0,347.0,536.0,44.0,305.0,184.0,36.0,12.8,19.0,24.0,114.0,9.0,8.0,36.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.95,2.065,14.38,11.67,,,0.19,4.07,7.52,3.27,1.3,0.359,16.0,46.0,33.0,342.0,617.0,21.0,360.0,183.0,34.0,15.3,23.0,37.0,119.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.03,2.158,14.25,12.15,,,0.189,3.93,8.26,3.16,1.21,0.415,22.0,23.0,38.0,381.0,638.0,24.0,336.0,183.0,41.0,12.2,22.0,46.0,131.0,6.0,26.0,49.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.39,2.265,14.09,11.74,,,0.229,3.96,8.07,3.08,1.56,0.379,32.0,46.0,33.0,321.0,694.0,52.0,355.0,183.0,36.0,17.3,24.0,79.0,110.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.18,2.115,13.99,11.86,,,0.2,3.6,7.54,3.11,1.75,0.419,33.0,27.0,35.0,394.0,668.0,37.0,325.0,183.0,40.0,13.4,20.0,52.0,124.0,7.0,20.0,46.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
53.51,2.175,13.97,12.51,,,0.219,4.24,8.35,3.37,1.01,0.419,30.0,18.0,37.0,418.0,500.0,15.0,319.0,183.0,43.0,15.3,23.0,115.0,118.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.31,2.335,13.77,11.83,,,0.192,3.49,7.27,3.33,1.72,0.465,9.0,18.0,36.0,360.0,1023.0,46.0,328.0,183.0,37.0,16.1,20.0,25.0,131.0,5.0,22.0,44.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.3,2.154,14.01,11.61,,,0.193,4.44,8.2,3.16,1.38,0.319,17.0,41.0,32.0,341.0,506.0,33.0,337.0,184.0,36.0,12.3,24.0,59.0,115.0,6.0,23.0,65.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.75,1.996,13.71,12.42,,,0.19,3.66,7.2,2.9,1.64,0.309,25.0,5.0,31.0,349.0,560.0,44.0,311.0,183.0,38.0,16.0,21.0,30.0,113.0,7.0,20.0,46.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.43,2.405,13.65,12.01,,,0.197,3.34,7.13,3.3,1.84,0.453,1.0,22.0,29.0,360.0,706.0,48.0,316.0,183.0,38.0,14.6,23.0,13.0,130.0,8.0,22.0,43.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.72,2.111,14.42,10.62,,,0.181,3.98,7.7,3.31,1.4,0.323,26.0,27.0,33.0,356.0,623.0,23.0,347.0,182.0,35.0,12.0,24.0,31.0,124.0,11.0,24.0,46.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.22,2.126,14.29,11.32,,,0.21,4.57,8.41,2.89,1.45,0.309,56.0,46.0,33.0,309.0,503.0,40.0,339.0,182.0,35.0,16.2,23.0,68.0,112.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
53.53,2.3,14.2,11.31,,,0.181,4.82,8.82,2.85,1.39,0.337,26.0,66.0,34.0,331.0,796.0,37.0,357.0,182.0,34.0,13.7,21.0,44.0,118.0,7.0,18.0,47.0,3.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.53,2.117,14.07,11.68,,,0.199,3.99,8.16,3.13,1.47,0.404,26.0,23.0,38.0,382.0,600.0,35.0,331.0,182.0,40.0,12.4,22.0,42.0,127.0,5.0,23.0,53.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.26,2.158,14.04,11.66,,,0.198,4.31,8.12,3.1,1.59,0.337,15.0,41.0,34.0,332.0,557.0,39.0,331.0,182.0,38.0,13.1,20.0,57.0,107.0,13.0,19.0,42.0,8.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.62,2.208,13.93,11.16,,,0.19,3.55,7.41,3.52,1.79,0.379,5.0,15.0,39.0,419.0,669.0,46.0,335.0,182.0,37.0,14.8,23.0,24.0,134.0,6.0,18.0,42.0,4.0,,GrandeRonde,ButtermilkCanyon,47,WolffDatabase,3.0,
53.92,2.152,13.92,11.84,,,0.19,4.57,8.34,3.03,1.5,0.311,20.0,54.0,35.0,333.0,507.0,36.0,331.0,182.0,36.0,13.0,18.0,67.0,106.0,6.0,32.0,37.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.34,2.136,13.92,11.86,,,0.189,4.35,8.22,3.01,1.43,0.327,18.0,41.0,31.0,332.0,513.0,36.0,339.0,182.0,34.0,12.9,20.0,60.0,109.0,6.0,12.0,35.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.5,2.42,13.9,10.2,,,0.191,3.37,7.19,3.3,2.19,0.469,4.0,10.0,37.0,359.0,913.0,50.0,341.0,192.0,43.0,14.1,21.0,19.0,145.0,8.0,28.0,55.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.27,2.225,13.68,12.45,,,0.249,4.04,7.81,3.27,1.4,0.379,28.0,46.0,33.0,378.0,500.0,33.0,313.0,183.0,39.0,16.0,22.0,89.0,120.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.02,2.177,13.78,11.7,,,0.184,3.59,6.7,3.38,1.83,0.403,14.0,15.0,32.0,332.0,703.0,49.0,341.0,187.0,36.0,12.9,22.0,15.0,123.0,6.0,25.0,59.0,3.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.35,2.14,14.22,10.67,,,0.199,3.71,7.38,3.16,1.6,0.32,5.0,7.0,33.0,349.0,823.0,44.0,362.0,184.0,38.0,11.7,22.0,22.0,126.0,9.0,28.0,46.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
