Sample,Lat.,Long.,Coll. Date,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,V,Cr,Co,Ni,Cu,Zn,Li,Rb,Cs,Sr,Ba,Ba,Y,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Yb,Lu,Zr,Hf,Nb,Ta,Th,U
UTG-01,44.459208,-117.413681,1-Jun-94,53.70,2.41,13.90,12.60,0.21,4.10,7.99,3.30,1.24,0.60,34.90,,24.30,35.90,,,,,36.00,5.02,335.00,653.00,490.00,,22.60,51.00,26.50,7.38,1.82,,1.26,,4.25,0.57,,5.66,,0.77,3.62,1.80
WA-001,45.224631,-117.430749,13-Jul-87,51.00,2.56,14.20,14.50,0.22,4.01,7.60,3.32,2.13,0.42,36.80,414.00,4.40,38.70,9.00,50.00,158.00,17.00,56.00,0.48,351.00,,790.00,,24.30,54.80,29.90,7.29,2.32,,1.29,,4.06,0.59,234.00,5.93,,0.89,4.31,1.80
WA-002,45.218914,-117.434949,13-Jul-87,52.50,2.48,13.80,13.90,0.22,3.95,7.39,3.37,1.96,0.41,37.10,424.00,5.10,37.70,8.00,52.00,157.00,17.00,46.00,1.03,334.00,,678.00,,24.30,55.30,30.00,7.18,2.32,,1.38,,4.09,0.57,227.00,6.10,,0.88,4.14,1.60
WA-003,45.218946,-117.434949,13-Jul-87,68.20,0.57,15.20,3.60,0.05,1.84,4.76,2.76,2.81,0.15,11.50,110.00,35.50,11.60,16.00,25.00,57.00,22.00,66.00,2.08,236.00,290.00,268.00,,13.60,29.70,14.30,3.08,0.80,,0.39,,1.44,0.22,185.00,4.17,,0.28,2.69,3.40
WA-004,45.218978,-117.434949,13-Jul-87,66.00,0.54,14.80,4.70,0.07,3.35,4.55,3.43,2.44,0.16,10.60,96.00,32.90,13.40,16.00,20.00,53.00,45.00,54.00,1.58,434.00,445.00,468.00,,15.50,30.80,15.30,3.44,0.86,,0.43,,1.52,0.23,182.00,4.54,,0.25,3.12,1.70
WA-005,45.218946,-117.434949,13-Jul-87,66.30,0.42,15.40,4.00,0.07,3.03,4.63,4.05,1.88,0.17,12.40,91.00,29.80,12.10,19.00,11.00,50.00,31.00,42.00,1.75,460.00,500.00,491.00,,24.00,49.10,20.30,3.75,0.91,,0.47,,1.43,0.21,128.00,3.07,,0.25,6.01,1.30
WA-006,45.218977,-117.434994,13-Jul-87,67.80,0.42,14.90,3.90,0.06,2.60,4.82,3.82,1.53,0.13,9.70,92.00,28.80,11.70,16.00,13.00,47.00,34.00,38.00,1.55,491.00,450.00,449.00,,11.70,25.60,13.00,2.85,0.76,,0.34,,1.23,0.19,144.00,3.62,,0.21,3.23,1.00
WA-007,45.212247,-117.438681,14-Jul-87,53.40,1.59,17.00,9.70,0.16,4.54,9.37,3.03,1.05,0.22,29.10,269.00,66.20,31.00,21.00,65.00,108.00,15.00,23.00,0.64,482.00,,426.00,,13.40,29.10,16.50,4.41,1.49,,0.77,,2.28,0.32,134.00,3.37,,0.52,2.29,1.30
WA-008,45.212271,-117.438681,14-Jul-87,52.50,1.48,15.50,9.90,0.17,6.15,10.26,2.58,1.22,0.21,35.40,274.00,177.00,36.90,36.00,101.00,112.00,19.00,17.00,0.63,393.00,,395.00,,13.00,29.40,16.30,4.14,1.44,,0.75,,2.20,0.34,125.00,3.30,,0.55,2.28,1.00
WA-015,45.219862,-117.449753,15-Jul-87,54.00,1.97,13.80,12.90,0.20,4.26,8.01,3.27,1.24,0.34,36.40,384.00,20.50,37.20,18.00,34.00,142.00,22.00,36.00,1.34,332.00,,659.00,,20.50,45.70,25.10,6.17,1.89,,1.09,,3.74,0.54,177.00,4.64,,0.69,3.49,1.00
WA-016,45.219909,-117.450055,15-Jul-87,54.60,2.56,13.50,13.80,0.21,3.42,7.50,1.96,1.94,0.43,33.60,361.00,6.80,37.00,5.00,7.00,149.00,33.00,64.00,12.03,413.00,,974.00,,23.20,51.60,28.30,6.71,2.07,,1.18,,3.59,0.52,203.00,5.27,,0.89,4.72,1.80
WA-017,45.227157,-117.452537,15-Jul-87,53.60,2.34,13.50,13.70,0.21,3.91,7.42,3.44,1.53,0.38,35.60,416.00,10.90,39.70,15.00,65.00,150.00,18.00,39.00,0.71,340.00,,653.00,,22.90,49.20,28.50,6.94,2.16,,1.19,,3.68,0.55,215.00,5.58,,0.85,3.87,1.70
WA-018,45.227133,-117.452537,15-Jul-87,55.80,1.61,14.40,10.40,0.17,4.48,8.00,3.07,1.69,0.28,27.90,,18.30,32.50,,,108.00,,27.00,0.93,311.00,,558.00,,19.90,43.60,23.40,5.83,1.82,,0.94,,2.84,0.41,196.00,5.02,,0.69,4.46,1.90
WA-019,45.227228,-117.452605,15-Jul-87,53.50,2.29,14.00,13.20,0.20,4.31,7.87,3.06,1.23,0.30,34.50,421.00,13.20,39.80,12.00,45.00,139.00,17.00,23.00,0.99,356.00,,574.00,,19.20,41.30,25.00,5.73,1.90,,1.01,,3.05,0.42,181.00,4.59,,0.71,3.42,1.20
WA-029,45.220582,-117.395429,17-Jul-87,52.70,2.23,14.20,12.40,0.19,5.08,9.05,2.97,0.83,0.32,34.90,347.00,72.60,38.80,38.00,85.00,133.00,13.00,64.00,2.32,343.00,,501.00,,19.40,43.40,24.10,6.52,2.03,,1.12,,3.19,0.45,192.00,4.91,,0.84,3.61,1.10
WA-034,45.112109,-117.377335,19-Jul-88,52.60,2.31,14.10,12.60,0.20,5.05,8.89,2.74,1.12,0.35,34.40,359.00,61.40,38.70,38.00,87.00,135.00,13.00,27.00,1.84,337.00,,529.00,,19.60,45.30,26.10,6.42,2.03,,1.12,,3.20,0.45,199.00,5.04,,0.90,3.49,1.20
WA-039,45.133686,-117.414515,20-Jul-88,54.80,2.03,13.50,13.20,0.21,3.83,7.34,3.13,1.54,0.40,35.00,407.00,11.10,36.80,11.00,34.00,141.00,18.00,39.00,0.85,317.00,,706.00,,21.90,46.60,26.80,6.58,1.95,,1.12,,3.52,0.51,198.00,4.83,,0.79,4.01,1.50
WA-040,45.140581,-117.414921,20-Jul-88,51.70,1.41,15.00,11.10,0.19,6.14,10.37,2.95,0.80,0.33,39.60,354.00,144.00,39.10,50.00,99.00,127.00,10.00,12.00,,404,,399.00,,16.30,34.70,19.00,4.87,1.59,,0.84,,3.06,0.47,119.00,3.33,,0.50,1.17,
WA-043,45.133482,-117.436159,21-Jul-88,60.10,0.75,16.50,6.50,0.10,4.24,5.92,3.83,1.82,0.23,17.8,,41.10,17.00,40.00,,,,39.00,1.07,533.00,650.00,585.00,,16.60,40.90,26.00,5.35,0.90,,0.63,,2.49,0.33,218.00,8.92,,0.22,2.44,1.90
WA-044,45.133465,-117.436158,21-Jul-88,54.20,1.92,14.40,11.70,0.19,4.85,8.40,3.11,1.02,0.28,34.90,,24.20,38.10,30.00,,,,21.00,1.29,371.00,,522.00,,17.50,38.50,24.10,5.51,1.78,,0.89,,3.06,0.39,176.00,4.48,,0.70,3.19,1.70
WA-046,45.133482,-117.436182,21-Jul-88,73.60,0.24,14.20,1.80,0.03,0.94,3.07,3.89,2.12,0.06,3.70,,5.30,3.50,,,,,41.00,1.25,525.00,590.00,592.00,,11.30,25.10,9.00,1.91,0.54,,0.20,,0.70,0.13,102.00,3.01,,0.29,4.93,2.00
WA-047,45.142199,-117.435385,21-Jul-88,51.80,1.85,14.40,12.40,0.20,5.61,9.58,2.81,1.04,0.29,41.00,,99.60,40.90,,,,,23.00,0.25,381.00,,439.00,,16.30,33.20,19.30,4.95,1.58,,0.70,,3.07,0.36,141.00,3.46,,0.49,2.24,0.50
WA-048,45.145735,-117.435791,21-Jul-88,52.20,1.65,14.70,11.70,0.19,5.81,9.82,2.70,0.92,0.28,41.40,,114.00,40.70,,,,,22.00,1.26,436.00,,510.00,,16.20,32.30,18.60,4.75,1.65,,0.66,,2.95,0.39,135.00,3.28,,0.47,2.11,0.40
WA-049,45.146544,-117.434345,21-Jul-88,52.90,2.20,14.40,12.20,0.19,5.00,8.97,2.67,1.05,0.35,35.90,349.00,73.00,40.30,36.00,85.00,135.00,19.00,19.00,0.69,351.00,,504.00,,19.10,42.70,23.80,6.46,2.02,,1.13,,3.19,0.46,191.00,4.95,,0.85,3.54,
WA-050,45.146556,-117.434365,21-Jul-88,51.30,1.45,15.40,11.20,0.18,6.16,10.14,2.99,0.81,0.32,40.5,335.00,150.00,37.50,49.00,102.00,127.00,9.00,19.00,,396,,427.00,,15.00,32.50,17.20,4.45,1.52,,0.82,,2.85,0.41,122.00,3.09,,0.43,1.05,
WA-051,45.146506,-117.434341,21-Jul-88,54.00,2.19,14.40,12.00,0.19,4.20,8.05,3.22,1.45,0.37,32.4,341.00,28.60,37.20,20.00,53.00,135.00,11.00,37.00,1.02,370.00,,624.00,,21.20,46.10,25.10,6.56,1.98,,1.04,,3.14,0.46,196.00,5.11,,0.87,3.97,1.30
WA-052,45.106409,-117.395741,22-Jul-88,53.30,1.96,14.40,12.50,0.20,4.56,8.46,2.82,1.50,0.29,34.60,,6.70,36.50,,,,,35.00,0.88,298.00,450.00,605.00,,19.10,38.00,20.40,5.55,1.72,,0.91,,3.33,0.44,171.00,4.04,,0.67,4.01,1.90
WA-053,45.110215,-117.401174,22-Jul-88,54.50,2.16,13.50,13.40,0.21,3.86,7.13,3.15,1.78,0.36,35.90,,13.20,39.40,,,,,50.00,1.05,305.00,680.00,726.00,,20.80,43.40,23.80,6.26,2.03,,0.96,,3.70,0.49,192.00,4.96,,0.67,4.40,1.00
WA-054,45.110234,-117.401227,22-Jul-88,54.30,2.12,13.80,13.20,0.20,3.66,7.04,3.28,2.09,0.37,35.70,,12.40,38.80,,,,,44.00,1.10,307.00,590.00,745.00,,23.20,48.00,24.60,6.53,2.03,,0.85,,3.98,0.50,217.00,5.53,,0.80,5.24,0.80
WA-055,45.110271,-117.401227,22-Jul-88,55.70,2.32,13.50,12.90,0.19,3.26,6.19,2.86,2.75,0.40,31.80,,3.20,34.50,,,,,53.00,0.77,270.00,650.00,808.00,,23.70,48.10,24.90,6.72,2.00,,0.99,,3.63,0.49,221.00,4.98,,0.78,5.69,1.90
WA-056,45.110252,-117.401227,22-Jul-88,54.40,2.18,13.50,13.50,0.21,3.73,7.27,3.23,1.66,0.36,36.10,,12.10,39.60,,,,,40.00,1.29,327.00,590.00,767.00,,19.80,43.20,23.60,5.98,1.96,,0.82,,3.56,0.44,202.00,4.67,,0.73,4.34,1.40
WA-057,45.109686,-117.403703,22-Jul-88,56.10,2.40,13.10,13.10,0.21,2.88,7.00,3.00,1.69,0.52,31.80,,3.80,30.40,,,,,43.00,2.26,339.00,540.00,751.00,,25.30,52.30,29.60,7.15,2.35,,1.09,,3.99,0.49,212.00,5.41,,0.82,5.19,2.10
WA-058,45.109705,-117.403677,22-Jul-88,54.70,2.52,13.40,13.80,0.21,3.36,7.31,2.58,1.74,0.41,33.20,,1.40,35.80,,,,,108.00,5.10,379.00,580.00,776.00,,21.90,44.40,24.80,6.39,1.90,,0.77,,3.83,0.47,200.00,4.87,,0.74,4.54,1.30
WA-060,45.166187,-117.474144,24-Jul-88,54.60,2.19,13.40,13.30,0.21,3.71,7.29,3.42,1.40,0.44,33.90,,12.70,35.60,,,131.00,,30.00,1.37,319.00,675.00,746.00,,19.90,47.60,27.80,6.43,2.05,,0.25,,3.61,0.45,197.00,4.64,,0.66,3.90,2.30
WA-062,45.178265,-117.475062,24-Jul-88,54.80,1.77,14.00,11.80,0.19,4.47,7.98,3.06,1.72,0.25,35.00,,7.10,37.60,,,,,44.00,0.85,299.00,520.00,604.00,,17.70,38.50,21.00,5.37,1.69,,0.67,,3.34,0.38,158.00,4.29,,0.68,4.58,0.70
WA-063,45.179413,-117.477369,24-Jul-88,56.70,2.16,13.70,12.40,0.19,3.05,6.38,3.22,1.85,0.36,29.60,,9.30,34.70,,,,,59.00,2.22,293.00,650.00,804.00,,25.70,56.20,27.10,7.28,2.02,,1.18,,3.55,0.54,222.00,5.80,,0.92,5.18,1.60
WA-064,45.178032,-117.478253,24-Jul-88,55.30,2.44,13.00,13.90,0.20,3.08,6.45,3.36,1.76,0.52,33.50,,5.10,34.30,,,,,46.00,1.40,284.00,760.00,974.00,,27.80,57.30,31.40,8.03,2.37,,1.20,,5.11,0.62,230.00,6.14,,0.95,4.86,2.60
WA-065,45.177405,-117.481363,24-Jul-88,55.40,2.08,13.90,12.80,0.19,3.54,6.96,2.97,1.88,0.40,31.10,,14.30,35.80,,,,,40.00,0.35,312.00,645.00,844.00,,23.20,51.30,25.90,6.60,2.12,,1.21,,4.08,0.59,215.00,5.40,,0.71,3.99,1.60
WA-066,45.176999,-117.486188,24-Jul-88,48.00,1.53,16.50,11.20,0.17,8.90,10.36,2.81,0.26,0.25,28.20,,147.00,55.00,,,,,4.00,,439.00,95.00,169.00,,6.90,17.70,9.30,3.45,1.35,,0.45,,1.85,0.29,96.00,2.46,,0.27,1.11,0.90
WA-067,45.176971,-117.486188,24-Jul-88,47.90,1.52,16.80,11.20,0.17,8.76,10.40,2.80,0.24,0.21,29.50,,141.00,56.20,,,,,3.00,0.03,431.00,130.00,179.00,,6.20,18.00,11.80,3.53,1.41,,0.75,,1.95,0.30,94.00,2.33,,0.33,1.38,1.10
WA-068,45.176999,-117.486188,24-Jul-88,48.00,1.34,17.10,11.00,0.17,8.94,10.59,2.62,0.17,0.18,29.90,,136.00,53.90,,,,,4.00,0.09,410.00,125.00,192.00,,6.10,16.40,11.20,3.17,1.27,,0.52,,2.11,0.30,90.00,2.25,,0.28,1.16,1.10
WA-069,45.177538,-117.469215,24-Jul-88,53.00,2.05,14.30,12.80,0.20,4.55,8.23,3.19,1.31,0.38,38.00,,77.40,42.30,,,,,33.00,0.32,318.00,505.00,611.00,,18.90,43.80,26.70,5.96,2.06,,1.19,,3.68,0.54,166.00,4.59,,0.76,3.21,2.40
WA-070,45.156982,-117.393795,25-Jul-88,52.50,1.68,14.10,12.30,0.21,5.37,9.56,3.16,0.83,0.39,46.20,,50.60,38.50,,,,,16.00,0.03,381.00,460.00,573.00,,17.00,39.80,20.80,5.69,1.77,,0.78,,3.93,0.51,165.00,3.97,,0.47,1.53,0.80
WA-071,45.156946,-117.393785,25-Jul-88,52.50,2.29,12.70,13.70,0.21,4.70,10.01,2.42,1.14,0.35,37.00,,65.50,40.80,,,,,37.00,0.94,318.00,440.00,449.00,,19.30,43.30,22.40,6.58,2.04,,0.76,,3.62,0.45,206.00,5.00,,0.83,3.49,2.10
WA-072,45.16193,-117.388662,25-Jul-88,56.00,2.20,13.20,12.80,0.20,3.27,6.91,3.32,1.74,0.38,30.00,,5.00,34.70,,,,,54.00,1.40,314.00,695.00,824.00,,23.90,49.50,26.10,6.51,2.13,,1.15,,3.40,0.54,207.00,5.94,,0.93,4.99,2.70
WA-073,45.16193,-117.388662,25-Jul-88,54.30,2.15,13.50,13.30,0.20,3.74,7.31,3.48,1.58,0.37,35.50,,14.40,38.50,,,,,30.00,1.09,323.00,580.00,766.00,,21.00,44.70,24.20,6.31,1.96,,1.03,,3.68,0.47,199.00,4.97,,0.66,4.46,2.30
WA-074,45.161929,-117.388742,25-Jul-88,54.20,2.14,13.50,13.20,0.20,3.72,7.38,3.75,1.46,0.38,34.90,,13.30,38.30,,,,,40.00,1.37,325.00,570.00,718.00,,20.10,42.60,24.00,6.12,1.95,,0.94,,4.02,0.44,192.00,4.50,,0.70,4.31,1.50
WA-075,45.16193,-117.388702,25-Jul-88,59.80,1.73,13.50,10.50,0.16,2.83,5.80,3.30,2.00,0.29,27.10,,6.70,28.20,,,,,61.00,1.01,256.00,670.00,874.00,,24.10,50.10,22.50,6.18,1.72,,0.96,,3.78,0.48,259.00,6.60,,0.81,7.17,1.60
WA-076,45.161958,-117.388742,25-Jul-88,58.90,1.91,13.70,11.10,0.17,2.62,6.00,3.59,1.69,0.30,27.00,,3.80,28.30,,,,,63.00,1.62,303.00,760.00,960.00,,25.50,50.30,26.50,6.51,1.95,,0.87,,3.62,0.47,222.00,6.04,,0.87,6.99,2.90
WA-078,45.161958,-117.388742,25-Jul-88,72.60,0.33,15.10,2.60,0.05,0.63,2.97,3.82,1.76,0.12,5.60,,7.70,5.50,,,,,43.00,2.49,191.00,286.00,331.00,,11.80,25.80,12.00,2.47,0.57,,0.30,,0.85,0.15,103.00,2.70,,0.57,2.10,2.50
WA-079,45.1642,-117.387353,25-Jul-88,52.40,2.26,14.30,12.50,0.20,4.98,8.97,2.92,1.10,0.33,35.90,,68.00,43.60,,,,,33.00,1.84,360.00,450.00,554.00,,19.00,44.90,23.70,6.43,2.23,,1.14,,3.27,0.51,191.00,5.42,,0.93,3.02,3.10
WA-080,45.1642,-117.387353,25-Jul-88,54.00,2.20,13.40,13.60,0.21,3.98,7.73,3.12,1.29,0.45,35.60,,12.40,38.20,,,,,43.00,0.52,333.00,590.00,726.00,,20.50,47.10,24.40,6.57,2.13,,1.18,,3.80,0.58,197.00,5.24,,0.58,3.32,3.10
WA-081,45.1642,-117.387293,25-Jul-88,52.60,2.28,14.30,12.50,0.20,4.93,8.95,2.88,1.05,0.35,34.10,,65.70,39.60,,,,,38.00,1.33,351.00,370.00,501.00,,18.60,41.60,22.80,6.07,1.92,,1.07,,3.48,0.46,195.00,4.72,,0.75,3.24,0.80
WA-082,45.1642,-117.387383,25-Jul-88,53.40,2.59,13.40,14.00,0.19,3.91,7.60,3.13,1.43,0.37,35.40,,18.30,42.50,,,,,42.00,0.32,335.00,610.00,707.00,,22.70,50.80,27.90,6.65,2.03,,1.10,,3.88,0.52,201.00,5.09,,0.80,4.20,1.10
WA-083,45.164242,-117.387353,25-Jul-88,56.00,2.36,13.10,12.90,0.21,2.88,6.64,3.53,1.82,0.53,30.60,,4.90,30.10,,,,,53.00,0.96,331.00,640.00,824.00,,24.40,53.90,28.70,7.40,2.28,,1.21,,4.01,0.54,216.00,5.58,,0.88,5.85,1.50
WA-084,45.164179,-117.387353,25-Jul-88,53.80,2.59,13.70,14.10,0.31,3.46,7.80,2.04,1.84,0.44,33.30,,4.40,36.00,,,,,100.00,33.20,546.00,2885.00,3430.00,,24.50,52.60,29.70,7.05,2.12,,1.29,,4.09,0.52,205.00,5.55,,0.91,4.99,1.60
WA-085,45.1642,-117.387293,25-Jul-88,56.50,2.33,13.50,12.60,0.21,2.79,6.79,3.19,1.49,0.56,29.00,,3.20,29.10,,,149.00,,43.00,1.36,373.00,565.00,888.00,,26.60,57.50,29.40,7.64,2.31,,1.43,,3.47,0.53,214.00,5.84,,0.94,5.78,1.60
WA-086,45.166275,-117.387427,25-Jul-88,54.30,2.15,13.70,13.40,0.20,3.75,7.02,3.51,1.62,0.42,35.30,,10.60,35.40,,,122.00,,45.00,0.59,322.00,555.00,820.00,,21.90,48.00,24.70,6.76,2.07,,1.34,,4.06,0.54,201.00,5.22,,0.67,3.63,1.20
WA-087,45.16901,-117.392064,25-Jul-88,55.90,2.38,13.30,12.90,0.21,2.90,6.51,3.56,1.77,0.51,31.10,,4.00,31.40,,,158.00,,47.00,4.58,363.00,615.00,939.00,,25.40,54.50,29.40,7.56,2.18,,1.33,,4.02,0.56,220.00,5.44,,0.86,5.48,1.80
WA-088,45.161387,-117.400115,25-Jul-88,52.50,1.70,15.00,10.90,0.17,5.89,9.43,3.05,1.03,0.24,32.70,,172.00,39.00,,,123.00,,28.00,0.88,379.00,315.00,469.00,,14.60,33.20,16.90,4.95,1.66,,1.04,,2.42,0.33,147.00,3.75,,0.50,1.96,1.00
WA-089,45.165697,-117.463144,26-Jul-88,55.00,1.87,14.20,11.70,0.18,4.36,7.66,3.30,1.47,0.27,31.20,,13.40,34.80,,,123.00,,50.00,0.83,338.00,390.00,646.00,,18.70,41.30,22.20,5.66,1.74,,1.21,,2.92,0.45,183.00,4.55,,0.72,4.08,1.50
WA-090,45.167428,-117.459229,26-Jul-88,53.00,2.05,14.30,12.70,0.19,4.62,8.40,3.15,1.31,0.36,37.00,,71.60,38.60,,,124.00,,51.00,0.45,331.00,460.00,644.00,,20.60,41.80,22.90,6.30,1.85,,1.13,,3.36,0.45,167.00,4.12,,0.59,3.45,2.20
WA-091,45.167405,-117.459229,26-Jul-88,53.00,2.11,14.10,13.00,0.20,4.49,8.31,3.25,1.20,0.37,35.40,,67.30,36.40,,,126.00,,39.00,0.61,333.00,400.00,713.00,,20.50,43.50,21.00,6.31,1.87,,1.21,,3.27,0.46,171.00,4.28,,0.66,3.89,1.20
WA-092,45.16054,-117.450836,26-Jul-88,53.10,2.11,13.90,13.10,0.21,4.45,8.42,3.04,1.33,0.40,36.70,,61.90,37.40,,,,,4.00,1.72,340.00,535.00,703.00,,20.80,45.20,26.10,6.46,1.95,,0.32,,3.42,0.49,175.00,4.55,,0.69,3.75,1.40
WA-093,45.160564,-117.450836,26-Jul-88,53.50,2.04,14.30,12.70,0.20,4.48,8.30,3.03,1.15,0.36,37.10,,69.30,38.20,,,,,25.00,,333.00,535.00,655.00,,20.20,44.20,26.30,6.12,1.89,,0.34,,3.48,0.51,172.00,4.45,,0.70,3.73,1.50
WA-094,45.161508,-117.450477,26-Jul-88,54.90,2.40,13.50,13.40,0.21,3.59,6.72,3.41,1.51,0.47,33.00,,4.50,34.00,,,135.00,,19.00,0.87,324.00,655.00,796.00,,23.80,55.40,33.40,8.12,2.47,,1.21,,4.26,0.63,236.00,5.96,,0.91,4.14,1.10
WA-095,45.161531,-117.450444,26-Jul-88,53.30,1.34,15.30,9.60,0.16,6.18,9.99,2.98,0.91,0.19,31.70,,182.00,36.20,,,66.00,,9.00,,379.00,320.00,363.00,,11.80,26.90,15.10,4.01,1.31,,0.32,,2.19,0.30,127.00,2.98,,0.58,1.93,1.00
WA-096,45.161508,-117.450477,26-Jul-88,51.00,2.00,13.30,12.00,0.19,4.34,12.47,2.90,1.44,0.35,35.10,,54.90,37.30,,,,,11.00,2.18,387.00,520.00,704.00,,19.40,45.10,22.20,6.51,2.02,,0.35,,3.38,0.48,194.00,4.71,,0.76,3.23,1.80
WA-097,45.161531,-117.450478,26-Jul-88,53.50,2.09,14.10,12.40,0.20,4.33,8.21,3.35,1.40,0.37,33.70,,50.90,36.60,,,85.00,,12.00,,352.00,455.00,590.00,,19.40,43.80,26.20,6.20,1.89,,0.13,,2.88,0.47,207.00,4.56,,0.80,3.36,1.10
WA-098,45.161508,-117.450477,26-Jul-88,53.70,2.12,14.20,12.50,0.19,4.38,8.26,3.14,1.20,0.34,35.20,,48.80,37.50,,,96.00,,24.00,,348.00,485.00,573.00,,19.40,44.20,28.50,6.51,1.98,,0.15,,3.69,0.50,194.00,4.88,,0.85,3.11,1.50
WA-099,45.161508,-117.450444,26-Jul-88,54.50,2.16,13.60,13.30,0.20,3.76,7.43,3.26,1.44,0.37,36.40,,17.10,39.30,,,132.00,,36.00,,321.00,610.00,690.00,,21.50,49.10,27.20,6.33,1.87,,0.08,,3.41,0.50,188.00,4.70,,0.60,5.16,2.00
WA-100,45.16176,-117.429739,26-Jul-88,55.00,1.78,14.40,11.20,0.18,4.74,8.33,2.81,1.25,0.24,31.10,,21.30,35.30,,,,,25.00,0.70,332.00,415.00,529.00,,17.80,39.50,29.40,5.74,1.66,,0.68,,2.87,0.40,162.00,4.30,,,2.94,1.70
WA-102,45.171341,-117.413013,26-Jul-88,54.70,2.12,13.60,13.10,0.21,3.88,7.48,3.32,1.21,0.37,35.30,,9.50,37.70,,,130.00,,34.00,,337.00,610.00,715.00,,21.60,49.40,29.80,6.94,2.05,,1.27,,3.74,0.53,209.00,5.35,,0.82,3.50,1.60
WA-103,45.177135,-117.411923,26-Jul-88,52.40,1.92,14.30,12.90,0.21,4.95,9.11,3.07,0.82,0.28,39.70,,60.70,41.40,,,,,25.00,,259.00,320.00,375.00,,15.30,34.80,21.00,5.97,1.83,,0.34,,3.75,0.52,178.00,4.57,,0.74,2.31,2.10
WA-104,45.177135,-117.411856,26-Jul-88,49.70,1.72,14.80,11.90,0.21,5.23,10.94,2.92,2.25,0.28,41.10,,60.70,41.20,,,103.00,,29.00,,329.00,590.00,719.00,,18.50,42.30,22.60,5.81,1.83,,0.28,,3.27,0.45,161.00,4.34,,0.95,2.96,1.80
WA-105,45.180732,-117.398858,27-Jul-88,57.20,2.17,13.30,12.40,0.20,2.79,6.49,3.36,1.66,0.41,30.00,,3.90,31.30,,,128.00,,45.00,,322.00,685.00,859.00,,25.20,54.50,29.50,7.26,2.04,,1.11,,3.50,0.49,224.00,5.37,,1.08,5.73,1.90
WA-106,45.180732,-117.398825,27-Jul-88,52.60,2.25,14.40,12.30,0.20,5.03,9.02,2.84,0.95,0.34,20.80,,41.30,38.60,,,101.00,,20.00,,417.00,460.00,549.00,,18.40,27.90,24.90,6.64,1.93,,0.34,,3.18,0.46,187.00,2.83,,0.74,1.91,2.00
WA-107,45.177472,-117.395369,27-Jul-88,55.00,1.98,14.10,12.30,0.19,4.16,7.79,2.93,1.27,0.27,33.30,,9.80,36.80,,,107.00,,29.00,,326.00,490.00,644.00,,17.30,36.70,22.90,5.37,1.57,,0.41,,2.90,0.43,164.00,4.07,,0.72,3.65,2.30
WA-108,45.173432,-117.399171,27-Jul-88,52.40,1.95,14.20,13.00,0.21,4.88,9.10,3.13,0.78,0.29,37.70,,54.00,39.20,,,111.00,,17.00,,261.00,300.00,384.00,,14.40,33.60,22.80,5.86,1.76,,0.44,,3.81,0.52,176.00,4.53,,0.45,1.92,0.80
WA-109,45.173433,-117.399137,27-Jul-88,52.60,1.67,15.00,10.90,0.17,5.87,9.51,3.06,0.95,0.25,34.40,,179.00,41.50,,,82.00,,16.00,,384.00,390.00,431.00,,13.30,32.80,18.90,4.89,1.69,,0.30,,2.50,0.36,145.00,3.64,,0.68,2.29,0.80
WA-110,45.169936,-117.403275,27-Jul-88,52.60,1.65,15.10,10.90,0.17,5.99,9.68,2.93,0.81,0.23,34.00,,182.00,40.50,,,28.00,,1.00,0.36,386.00,240.00,406.00,,13.70,32.50,17.20,4.68,1.66,,1.02,,2.60,0.32,143.00,3.70,,0.66,2.34,0.40
WA-111,45.127304,-117.376587,28-Jul-88,56.10,2.01,13.60,12.50,0.21,3.14,6.65,3.71,1.73,0.41,32.10,,3.90,31.60,,,141.00,,2.00,1.42,334.00,700.00,811.00,,24.80,54.40,37.10,7.47,2.18,,1.37,,4.15,0.51,225.00,5.76,,0.85,4.97,0.50
WA-112,45.137814,-117.379623,28-Jul-88,56.30,2.00,13.50,12.50,0.21,3.15,6.54,3.49,1.89,0.44,31.00,,3.10,31.50,,,110.00,,3.00,1.02,327.00,740.00,821.00,,24.30,53.00,27.80,7.39,2.09,,1.36,,3.99,0.50,230.00,5.51,,0.78,4.62,1.40
WA-113,45.136504,-117.375325,28-Jul-88,51.10,1.46,15.00,11.60,0.20,6.15,10.39,2.89,0.76,0.37,42.80,,149.00,38.50,,,101.00,,5.00,1.43,442.00,340.00,404.00,,16.00,36.70,23.10,5.14,1.58,,0.99,,3.33,0.47,138.00,3.44,,0.35,0.68,0.40
WA-114,45.136504,-117.375279,28-Jul-88,54.30,2.21,14.00,12.20,0.19,4.30,7.90,3.11,1.38,0.36,33.10,,27.90,38.20,,,138.00,,1.00,1.01,349.00,585.00,594.00,,21.20,49.50,25.90,6.62,2.00,,1.22,,3.40,0.42,212.00,5.45,,0.91,4.45,0.70
WA-115,45.13136,-117.357798,28-Jul-88,54.50,2.28,13.80,13.20,0.21,3.78,7.31,3.30,1.24,0.37,33.70,,5.70,37.00,,,142.00,,,0.99,336.00,590.00,727.00,,22.00,48.80,27.30,6.85,1.99,,1.31,,3.45,0.43,217.00,5.32,,0.76,4.07,0.60
