SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Cu,Formation,Member,MemberID,Source,FormationID,Polarity
49.5,2.16,14.61,0.17,6.55,9.75,2.95,0.81,0.29,93.0,113.0,31.74,354.0,226.0,36.0,397.0,146.0,28.0,10.0,200.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.63,2.12,15.31,0.19,7.35,9.34,2.73,0.5,0.3,162.0,181.0,27.51,313.0,258.0,4.0,403.0,145.0,26.0,10.0,128.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.37,2.22,15.32,0.19,7.03,9.5,2.82,0.53,0.32,160.0,180.0,28.82,337.0,258.0,6.0,407.0,154.0,28.0,10.0,171.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.6,1.82,15.18,0.19,7.64,10.54,2.79,0.43,0.22,179.0,188.0,27.77,293.0,279.0,9.0,354.0,121.0,24.0,7.0,148.0,Steens,LowerSteens,0,Day2021,0.0,0.0
47.25,1.931,16.2,0.107,4.34,10.38,2.68,0.39,0.219,213.3,217.4,32.8,306.8,176.4,3.8,474.4,126.9,28.1,8.9,74.0,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.08,1.88,15.76,0.18,7.29,10.43,3.02,0.5,0.22,150.0,248.0,27.54,289.0,179.0,9.0,364.0,123.0,23.0,8.0,166.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.5,1.87,15.57,0.161,6.75,9.25,2.79,0.78,0.301,84.1,63.0,22.3,246.9,292.0,13.0,478.3,152.8,25.8,11.8,38.2,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.76,1.856,15.86,0.149,7.11,9.15,2.82,0.78,0.304,87.0,67.1,22.4,257.8,296.1,14.1,476.3,151.4,25.5,12.2,40.5,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.17,1.738,14.06,0.158,8.18,9.55,2.44,0.39,0.233,218.5,445.2,27.6,276.1,292.6,6.2,412.2,140.1,23.2,10.4,101.7,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.19,1.744,13.99,0.164,9.54,9.31,2.45,0.54,0.236,236.7,500.3,25.4,255.7,261.4,9.7,389.6,135.9,22.8,9.9,98.4,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.69,1.691,14.03,0.187,8.91,9.79,2.26,0.17,0.226,256.1,441.0,24.4,240.3,174.4,0.3,408.7,130.1,22.0,9.4,109.3,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.83,1.938,16.18,0.156,7.38,10.62,2.86,0.35,0.293,167.6,117.8,30.1,297.9,202.8,3.9,519.7,132.8,25.2,11.8,69.2,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.05,1.736,14.23,0.154,9.24,9.33,2.43,0.52,0.231,226.3,436.7,25.9,247.2,242.3,8.8,392.0,131.3,22.1,10.1,87.5,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.97,1.734,14.16,0.153,8.84,9.49,2.45,0.55,0.24,219.7,450.9,26.1,250.3,253.5,9.3,402.3,135.4,22.9,10.1,64.5,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.77,1.857,15.85,0.146,7.82,9.82,2.75,0.58,0.3,123.4,160.0,24.2,251.7,214.6,3.8,471.4,135.8,24.5,12.0,56.8,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
