SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Formation,Member,MemberID,Source,FormationID,Polarity
50.23,1.827,15.26,0.165,8.61,10.3,2.6,0.68,0.207,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.5,1.87,15.57,0.161,6.75,9.25,2.79,0.78,0.301,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.76,1.856,15.86,0.149,7.11,9.15,2.82,0.78,0.304,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.45,2.03,14.71,0.18,8.89,9.18,2.85,0.89,0.33,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.85,2.09,18.39,0.16,5.03,10.62,3.14,0.6,0.29,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.01,2.23,15.51,0.18,7.31,10.16,2.94,0.69,0.3,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.26,2.0,17.74,0.12,6.1,9.99,2.99,0.77,0.29,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.17,1.738,14.06,0.158,8.18,9.55,2.44,0.39,0.233,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.88,1.97,18.11,0.16,6.01,10.42,3.04,0.59,0.29,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.42,2.043,16.44,0.167,6.66,10.65,2.76,0.67,0.234,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.78,1.982,16.16,0.169,6.93,10.33,2.78,0.68,0.235,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.4,1.923,16.84,0.166,7.12,10.78,2.67,0.5,0.222,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.9,1.96,16.09,0.17,7.01,10.32,2.87,0.69,0.23,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.44,2.236,15.15,0.199,7.5,9.27,3.14,0.69,0.302,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.15,2.23,15.34,0.19,7.52,10.21,2.93,0.74,0.3,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.19,1.744,13.99,0.164,9.54,9.31,2.45,0.54,0.236,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.15,1.936,14.66,0.179,8.57,10.6,2.39,0.66,0.228,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.69,1.691,14.03,0.187,8.91,9.79,2.26,0.17,0.226,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.86,1.978,16.28,0.168,7.73,9.76,2.96,0.59,0.233,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.25,1.941,16.56,0.186,7.53,9.69,2.74,0.72,0.289,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.34,1.81,14.32,0.18,10.09,9.88,2.45,0.64,0.23,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.83,1.938,16.18,0.156,7.38,10.62,2.86,0.35,0.293,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.05,1.736,14.23,0.154,9.24,9.33,2.43,0.52,0.231,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.83,2.033,15.16,0.181,8.58,11.36,2.33,0.36,0.214,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.07,2.031,17.39,0.168,6.05,9.82,3.27,0.67,0.297,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.97,1.734,14.16,0.153,8.84,9.49,2.45,0.55,0.24,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.77,1.857,15.85,0.146,7.82,9.82,2.75,0.58,0.3,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.87,2.087,15.84,0.179,7.99,10.16,2.89,0.53,0.243,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.95,2.78,15.23,0.207,5.38,8.67,3.44,1.33,0.511,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.51,2.76,15.54,0.191,6.06,8.67,3.0,1.36,0.464,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.94,2.68,15.15,0.197,6.15,8.42,3.18,1.34,0.456,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.76,2.83,14.89,0.21,5.27,8.79,3.57,1.17,0.483,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.82,2.177,15.83,0.154,5.64,9.06,3.06,0.82,0.38,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.0,2.517,15.41,0.198,5.56,8.99,3.39,1.26,0.455,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.19,2.539,17.15,0.185,4.58,8.61,3.82,1.22,0.484,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.46,2.245,16.08,0.174,4.8,7.83,3.46,1.49,0.388,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.39,2.087,15.98,0.19,4.88,8.1,3.59,1.75,0.484,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.96,2.509,18.04,0.175,4.2,8.56,3.75,1.04,0.397,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
53.67,1.782,16.3,0.156,4.67,7.85,3.61,1.96,0.481,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.33,2.544,16.05,0.194,5.89,8.28,3.44,1.05,0.419,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
53.51,2.455,13.51,0.197,4.16,7.9,3.37,1.46,0.349,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.2,2.288,16.02,0.168,6.4,8.61,3.08,0.74,0.393,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.42,2.428,15.19,0.185,4.4,7.62,3.72,1.45,0.408,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.23,1.747,15.91,0.138,6.44,8.73,3.03,0.96,0.3,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.75,2.403,16.37,0.196,6.39,9.02,3.47,0.96,0.42,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.01,2.94,14.86,0.212,5.66,8.62,3.58,1.22,0.548,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.52,2.312,16.24,0.185,6.07,8.68,3.58,0.96,0.381,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.85,2.565,16.31,0.19,5.75,8.45,3.49,1.03,0.417,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.81,2.78,14.7,0.212,5.36,8.83,3.52,1.28,0.525,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
53.14,2.348,15.12,0.182,4.17,6.94,3.71,2.16,0.482,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
51.26,2.632,15.1,0.193,5.43,8.13,3.52,1.5,0.518,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.12,2.295,16.1,0.194,5.76,8.89,3.56,0.96,0.384,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.72517879,2.626107795,13.53008711,0.220919512,3.877316508,7.749967,3.393616357,1.853728567,0.406506228,Steens,UpperSteens,1,Moore2018,0.0,1.0
52.59484411,2.652324161,13.53348233,0.216749377,3.945330539,7.730629549,3.565856526,1.776922126,0.40563272,Steens,UpperSteens,1,Moore2018,0.0,1.0
52.58473271,2.652326445,13.52569047,0.216253464,3.953465432,7.725616328,3.545527939,1.773698841,0.405036865,Steens,UpperSteens,1,Moore2018,0.0,1.0
52.60529865,2.624117404,13.67190191,0.214468382,4.027520154,7.791332415,3.353408035,1.773900176,0.37882838,Steens,UpperSteens,1,Moore2018,0.0,1.0
48.42222505,2.676328828,15.24579364,0.200880943,5.409499789,8.600914122,3.458023376,1.176924698,0.41857209,Steens,UpperSteens,1,Moore2018,0.0,1.0
51.89,2.644,14.62,0.163,4.17,7.9,3.12,1.7,0.519,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.96,3.19,14.37,0.224,4.3,7.8,3.82,1.71,0.68,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
51.05,2.28,15.02,0.168,3.85,8.13,2.99,1.14,0.455,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.17,2.82,16.25,0.201,3.19,7.14,4.11,1.85,0.65,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.95,2.202,15.73,0.136,4.78,8.24,3.31,1.25,0.489,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
53.62,2.348,15.12,0.182,4.17,6.94,3.71,2.16,0.482,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.13,3.25,14.26,0.222,5.22,8.27,3.65,1.46,0.597,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
51.71,2.608,15.52,0.195,4.46,8.01,3.34,2.16,0.595,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
