SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
55.31,2.349,13.63,12.27,0.199,3.4,6.98,3.37,1.79,0.44,31,0.1,45,326,743,24,52,6,GrandeRonde,2
56.61,2.219,13.42,11.94,0.191,2.97,6.62,3.36,2.09,0.322,30,3,54,320,692,26,52,6,GrandeRonde,2
55.97,1.977,13.98,11.56,0.195,3.59,7.16,3.14,1.85,0.333,32,14,50,325,728,26,52,6,GrandeRonde,2
56.15,2.43,13.76,11.73,0.186,3.15,6.75,3.18,1.96,0.463,32,16,53,311,775,31,52,6,GrandeRonde,2
54.58,2.314,13.65,12.52,0.198,3.61,7.35,3.15,1.98,0.401,34,18,42,321,678,8,53,6,GrandeRonde,2
55.03,1.999,13.86,11.51,0.221,4.2,7.93,3.15,1.47,0.391,35,31,35,331,607,18,53,6,GrandeRonde,2
49.81,3.251,13.55,13.77,0.231,5.31,9.28,2.68,1.1,0.767,31,101,24,290,622,18,53,6,Wanapum,1
54.1,2.312,13.79,12.19,0.198,4.22,7.86,3.13,1.57,0.382,33,36,40,331,568,19,53,6,GrandeRonde,2
54.04,2.151,14.02,11.57,0.2,4.62,8.29,3.14,1.41,0.332,38,45,37,333,500,22,53,6,GrandeRonde,2
49.51,3.176,13.54,14.06,0.233,5.38,9.3,2.66,1.13,0.773,41,107,25,285,495,23,53,6,Wanapum,1
56.97,2.237,13.4,11.57,0.196,2.99,6.64,3.14,2.26,0.329,30,5,59,319,696,23,53,6,GrandeRonde,2
55.32,2.042,13.77,12.08,0.21,4.06,7.8,2.58,1.6,0.319,38,24,40,308,543,24,53,6,GrandeRonde,2
55.45,2.192,13.4,12.56,0.21,3.53,7.22,3.56,1.27,0.379,36,29,65,307,566,24,53,6,GrandeRonde,2
55.86,2.015,13.6,12.29,0.2,3.56,7.17,3.18,1.56,0.338,24,13,42,317,578,24,53,6,GrandeRonde,2
55.24,2.215,13.38,12.97,0.215,3.34,7.14,3.47,1.44,0.384,33,18,48,312,583,24,53,6,GrandeRonde,2
55.41,2.075,13.63,12.13,0.21,3.7,7.55,3.18,1.55,0.337,36,21,40,306,586,24,53,6,GrandeRonde,2
55.73,2.13,13.33,12.65,0.21,3.35,7.09,3.36,1.57,0.382,32,16,45,312,588,24,53,6,GrandeRonde,2
55.37,2.141,13.48,12.69,0.213,3.39,7.13,3.36,1.63,0.377,31,19,48,309,596,24,53,6,GrandeRonde,2
55.2,2.206,13.19,13.17,0.21,3.34,7.19,3.61,1.27,0.383,35,19,45,309,597,24,53,6,GrandeRonde,2
55.52,2.181,13.39,12.58,0.209,3.41,7.14,3.36,1.61,0.382,33,12,45,308,608,24,53,6,GrandeRonde,2
55.77,2.15,13.32,12.53,0.21,3.4,7.04,3.47,1.51,0.377,35,13,45,305,612,24,53,6,GrandeRonde,2
55.32,2.277,13.3,12.89,0.209,3.38,7.12,3.46,1.44,0.389,31,18,49,308,614,24,53,6,GrandeRonde,2
55.76,2.152,13.37,12.49,0.204,3.38,7.07,3.41,1.55,0.383,35,17,45,310,615,24,53,6,GrandeRonde,2
56.4,2.181,13.55,11.73,0.219,3.6,7.2,2.65,1.86,0.378,34,27,47,308,623,24,53,6,GrandeRonde,2
57.62,2.248,13.7,10.67,0.188,3.01,6.63,3.3,2.05,0.33,31,20,52,310,709,24,53,6,GrandeRonde,2
53.66,1.85,13.93,12.21,0.2,4.77,8.66,3.24,0.96,0.31,41,41,33,315,440,27,53,6,GrandeRonde,2
53.78,1.836,13.86,12.16,0.2,4.78,8.66,3.53,0.68,0.307,43,39,34,314,442,27,53,6,GrandeRonde,2
55.82,1.926,13.8,11.89,0.191,3.74,7.15,3.24,1.68,0.336,38,29,47,308,597,27,53,6,GrandeRonde,2
54.5,2.187,13.78,12.91,0.208,3.71,7.55,3.05,1.48,0.4,30,26,38,328,598,27,53,6,GrandeRonde,2
55.52,2.188,15.43,11.54,0.166,3.48,6.81,3.08,1.15,0.416,34,30,33,333,619,27,53,6,GrandeRonde,2
54.88,2.083,13.6,12.54,0.203,3.93,7.51,3.04,1.64,0.355,34,25,44,298,620,27,53,6,GrandeRonde,2
54.82,2.11,13.87,12.39,0.193,3.87,7.2,3.39,1.55,0.375,38,34,41,313,625,27,53,6,GrandeRonde,2
54.11,2.267,13.83,13.34,0.2,3.64,7.52,3.1,1.32,0.44,30,23,34,340,627,27,53,6,GrandeRonde,2
54.78,2.153,13.69,12.37,0.205,3.77,7.52,3.39,1.52,0.368,35,14,48,306,631,27,53,6,GrandeRonde,2
56.63,1.844,13.86,11.31,0.185,3.64,6.95,3.34,1.72,0.312,26,13,49,313,631,27,53,6,GrandeRonde,2
55.65,1.895,14.06,11.76,0.181,3.8,7.19,3.28,1.64,0.325,41,21,46,307,632,27,53,6,GrandeRonde,2
