Trend,Volcano,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),PB206_PB204,PB207_PB204,PB208_PB204
1,3,49.94,2.372,12.87,10.63,8.7,0.17,0.417,2.32,0.229,18.40,15.47,38.04
1,3,50.24,2.46,12.9,11,8.84,0.17,0.45,2.05,0.24,18.47,15.48,38.09
1,3,49.57,2.355,12.69,10.52,8.8,0.18,0.419,2.22,0.23,18.40,15.46,38.02
1,3,49.73,2.57,13.25,10.82,8.97,0.17,0.48,2.24,0.25,,,
1,3,49.99,2.4,12.76,10.62,9.04,0.17,0.41,2.13,0.23,,,
1,3,50.06,2.42,12.85,10.92,9.01,0.17,0.45,2.16,0.23,18.49,15.48,38.11
1,3,50.16,2.299,12.83,10.47,8.99,0.18,0.393,2.1,0.218,18.43,15.50,38.14
1,3,49.77,2.46,13.18,10.8,9.1,0.18,0.47,2.25,0.25,,,
1,3,49.8,2.53,13.04,10.72,9.14,0.18,0.46,2.25,0.26,,,
1,3,49.67,2.289,12.68,10.45,9.45,0.18,0.41,2.26,0.218,18.39,15.46,38.02
1,3,49.61,2.346,12.58,10.62,9.43,0.17,0.443,2.19,0.233,18.42,15.45,38.01
1,3,49.74,2.38,13.14,10.6,9.57,0.17,0.43,2.2,0.23,,,
1,3,49.51,2.3,13,10.41,10.01,0.18,0.41,2.21,0.21,,,
1,3,49.63,2.286,12.59,10.29,9.95,0.17,0.416,1.98,0.222,18.37,15.46,37.99
1,3,49.32,2.61,12.44,10.92,10.06,0.17,0.48,1.99,0.25,18.64,15.48,38.18
1,3,49.73,2.21,12.91,10.31,10.33,0.18,0.4,2.1,0.21,,,
1,3,49.9,2.224,12.07,10.05,10.64,0.17,0.334,1.96,0.202,18.51,15.47,38.13
1,3,49.43,2.21,12.63,10.19,10.92,0.1,0.4,2.11,0.23,,,
1,3,49.38,2.13,12.48,10.06,11.33,0.18,0.39,2.02,0.21,,,
1,3,49.16,2.1,12.2,9.85,11.96,0.18,0.37,2.02,0.2,,,
1,3,49.01,2.104,11.51,9.52,12.19,0.17,0.365,2.08,0.207,18.40,15.47,38.05
1,3,49.35,2.03,11.22,9.14,13.8,0.18,0.39,1.64,0.17,18.47,15.47,38.09
1,3,49.32,2.11,11.38,9.19,14.27,0.18,0.37,1.79,0.19,18.45,15.47,38.09
1,3,48.46,2.17,10.68,8.36,14.89,0.17,0.432,2,0.24,,,
1,3,47.76,2.22,10.57,9.51,15.39,0.17,0.45,1.79,0.22,18.60,15.49,38.22
1,3,48.67,2.07,10.71,9.02,15.61,0.17,0.36,1.71,0.2,18.46,15.48,38.08
1,3,48.4,2.044,10.56,8.41,15.66,0.17,0.382,1.91,0.22,,,
1,3,48.77,1.77,9.9,8.12,18.24,0.17,0.3,1.45,0.15,18.46,15.47,38.09
1,3,47.17,1.844,9.11,7.39,19.02,0.17,0.373,1.72,0.2,,,
1,3,47.98,1.71,9.12,7.39,20.66,0.16,0.3,1.3,0.15,18.43,15.46,38.07
1,3,46.32,1.61,8.29,6.79,22.55,0.16,0.27,1.21,0.17,,,
1,3,46.23,1.62,8.3,6.83,22.36,0.16,0.27,1.23,0.16,,,
1,3,46.23,1.83,8.14,8.21,20.34,0.14,0.35,1.25,0.17,18.58,15.50,38.15
1,3,45.85,1.81,8.11,7.94,20.05,0.14,0.37,1.27,0.17,18.57,15.48,38.12
1,3,47.62,1.97,9.42,7.24,19.24,0.17,0.35,1.44,0.22,,,
1,3,47.2,1.87,9.35,8.05,18.22,0.15,0.32,1.51,0.18,18.46,15.48,38.11
